"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","posNeg","positive","positiveIncrease","recovered","states","totalTestResults","totalTestResultsIncrease"
"2020-04-22",44734,2098,2370,15013,3087,59202,103138,3700716,295229,227,5474,0,841406,28959,92978,56,4631492,337031
"2020-04-21",42636,2467,2315,14941,2682,59780,100051,3405487,127063,214,5514,0,812447,26367,72842,56,4294461,159255
"2020-04-20",40169,1798,2193,14463,2211,56734,97369,3278424,120369,214,5567,0,786080,25897,69493,56,4135206,151093
"2020-04-19",38371,1772,2145,14385,2239,56486,95158,3158055,126832,214,5603,0,760183,27387,67205,56,3984113,155249
"2020-04-18",36599,1893,2096,14769,3563,57761,92919,3031223,118251,205,5729,0,732796,27907,62840,56,3828864,145643
"2020-04-17",34706,2119,2052,14890,3405,58895,89356,2912972,127342,148,6096,0,704889,32024,53533,56,3683221,165985
"2020-04-16",32587,2200,1834,15130,3071,59499,85951,2785630,133173,137,5940,0,672865,30978,48851,56,3517236,166700
"2020-04-15",30387,2544,1783,14646,4434,59940,82880,2652457,107024,223,6032,0,641887,30307,43435,56,3350536,145124
"2020-04-14",27843,2336,1715,14039,3282,59610,78446,2545433,126412,221,5975,0,611580,25719,39268,56,3205412,157205
"2020-04-13",25507,1643,1628,13620,4285,56184,75164,2419021,109349,210,6168,0,585861,25195,35372,56,3048207,139032
"2020-04-12",23864,1703,1455,13620,3288,55427,70879,2309672,111204,160,5986,0,560666,27784,34081,56,2909175,136620
"2020-04-11",22161,2054,1405,13285,2825,55573,67591,2198468,106592,154,5978,0,532882,30501,31567,56,2772555,137913
"2020-04-10",20107,2108,1185,12693,4934,53166,64766,2091876,124192,41,5937,0,502381,34380,28997,56,2634642,158711
"2020-04-09",17999,2043,924,12450,3923,51305,59832,1967684,136748,39,5794,0,468001,34503,24819,56,2475931,170255
"2020-04-08",15956,2010,1013,10337,4311,45492,55909,1830936,117154,216,4131,0,433498,30677,21102,56,2305676,150338
"2020-04-07",13946,2024,889,9978,2981,43799,51598,1713782,123604,151,4076,0,402821,30885,18443,56,2155338,155706
"2020-04-06",11922,1318,814,7079,2946,36156,48617,1590178,123253,147,2961,0,371936,29002,16554,56,1999632,156434
"2020-04-05",10604,1340,760,5811,3903,32169,45671,1466925,94299,147,652,0,342934,25500,14513,56,1843198,120051
